question,answer,category
What is machine learning?,Machine learning is a subset of AI that enables systems to learn from data.,AI Basics
How does a neural network work?,Neural networks work by processing inputs through layers of interconnected nodes.,AI Basics
What is supervised learning?,Supervised learning is a type of machine learning where models are trained on labeled data.,AI Basics
What is unsupervised learning?,Unsupervised learning is a type of machine learning that finds patterns in unlabeled data.,AI Basics
What is reinforcement learning?,Reinforcement learning is a type of machine learning where an agent learns by trial and error.,AI Basics
What is natural language processing?,NLP is a field of AI focused on interaction between computers and human language.,AI Basics
What is computer vision?,Computer vision is a field of AI that enables computers to interpret and process visual data.,AI Basics
What is Python used for?,Python is used for web development, data analysis, AI, and more.,Programming
How to create a function in Python?,You can create a function using the def keyword.,Programming
What are Python lists?,Lists in Python are ordered collections that can hold multiple items.,Programming
How do you write a for loop in Python?,A for loop in Python iterates over a sequence of items using the for keyword.,Programming
What is a Python dictionary?,A dictionary in Python stores key-value pairs.,Programming
How do you install a Python package?,You can install packages using pip, e.g., pip install package_name.,Programming
What is an if statement in Python?,An if statement executes code only if a condition is true.,Programming
What is a Python class?,A class is a blueprint for creating objects in Python.,Programming
What is the capital of France?,The capital of France is Paris.,Geography
What is the largest ocean?,pasafic.,Geography
What is the highest mountain in the world?,Mount Everest is the highest mountain above sea level.,Geography
Which continent has the most countries?,Africa has the most countries of any continent.,Geography
What river is the longest in the world?,The Nile River is considered the longest river in the world.,Geography
What is the smallest country by area?,Vatican City is the smallest country in the world.,Geography
Which country has the largest population?,China has the largest population of any country.,Geography
What is the capital of Japan?,The capital of Japan is Tokyo.,Geography
Which desert is the largest?,The Sahara Desert is the largest hot desert.,Geography
What is deep learning?,Deep learning is a subset of machine learning using neural networks with many layers.,AI Basics
What is overfitting in machine learning?,Overfitting happens when a model learns the training data too well and performs poorly on new data.,AI Basics
What is a tuple in Python?,A tuple is an immutable ordered collection in Python.,Programming
How do you handle exceptions in Python?,Exceptions are handled using try and except blocks.,Programming
What is gradient descent?,Gradient descent is an optimization algorithm used to minimize the loss function in machine learning.,AI Basics
What is a Python module?,A module is a file containing Python code that can be imported and used in other programs.,Programming
